id,title,city,type_of_work,experience,employment_type,operating_mode,description,url
0,Smart Contract Engineer,Poland (Remote),Full-time,Mid,Permanent,Remote,"Smart Contract Development: Design, implement, and deploy secure and efficient Solidity-based smart contracts for Stargate’s protocol and related systems. Protocol Enhancements: Work closely with the team to identify and implement new features that align with the Stargate roadmap and DAO priorities. Code Auditing and Testing: Conduct thorough testing and security reviews of smart contracts, including collaborating with external audit firms as needed. Cross-Chain Integration: Optimize Stargate’s cross-chain capabilities by building robust integrations and maintaining multichain compatibility. Collaboration: Partner with the broader development team, and technical execution partners to ensure seamless integration and deployment of upgrades. Technical Expertise: Proficient in Solidity and EVM-compatible blockchains, with a strong understanding of DeFi and blockchain architecture. Experience with Move preferred. Experience: 3+ years of professional experience in smart contract development, with a proven track record of deployed contracts on mainnet. Security Mindset: Deep understanding of smart contract vulnerabilities, common attack vectors, and best practices for secure development. Analytical Thinker: Strong problem-solving skills and the ability to design innovative solutions for complex technical challenges. Collaborative Attitude: Excellent communication and teamwork skills, ready to work closely with a distributed team. Growth-Oriented: Eager to contribute to a fast-paced, rapidly evolving DeFi ecosystem and take on challenging responsibilities. Experience with multichain environments and integrating across diverse blockchain ecosystems. Previous contributions to open-source blockchain projects.",https://justjoin.it/job-offer/stargate-foundation-smart-contract-engineer-poland-remote--other
1,Software Engineer,Kraków,Full-time,Senior,B2B,Hybrid,"Projekt dotyczy globalnej transformacji w światowego banku. Dołączysz do do istniejącego zespołu deweloperskiego pracującego nad inicjatywami IAM w obszarze kontroli i audytu IDAM Minimum 5 lat doświadczenia komercyjnego w tym w roli Fullstack Developera. Doświadczenie z C# .NET Framework oraz MSSQL Server. Doświadczenie w pracy z Angularem. Znajomość języka angielskiego i polskiego – poziom min. B2 Zrozumienie zagadnień związanych z IAM i kontrolami dostępu. Znajomość architektury IT na poziomie enterprise oraz procesów z nią związanych. Doświadczenie w Scrum, DevOps, testowaniu automatycznym, TDD, BDD Dołączysz do firmy stworzonej przez inżynierów dla inżynierów, która istnieje na rynku od 14 lat. Obecnie zatrudniamy ponad 500 osób. j-labs to stabilność i długofalowa współpraca – około 20% załogi to osoby pracujące już ponad 5 lat! Możesz zmienić projekt – rób to co lubisz, rozwijaj swoje kompetencje, zdobywaj nowe. Robimy dobre IT albo wcale. Technologie, w których pracujemy to m.in. React, Angular, Java 21, Spring, Hibernate, Mikroserwisy, AWS/Azure/GSP/, Terraform, AI Eksperci przyciągają ekspertów – średnie doświadczenie naszych inżynierów wynosi 9 lat, a 30% zostaje zatrudnionych z polecenia. Stawiamy na knowledge sharing i rozwój . Organizujemy Talk4Devs, meet’upy, dajemy Ci przestrzeń do budowania swojej marki osobistej jako prelegent, czy prowadzenia własnych projektów, których rezultaty możesz przedstawiać m.in na naszym blogu. Dołącz do Gildii Technologicznej lub stwórz własną – nasze community zrzeszają specjalistów w obszarach: Java, Kotlin, .NET, Frontend, Management, DevOps, Quality Assurance Mamy zakodowane, że jest czas pracy i czas nie pracy, więc bardzo dbamy o to, aby work life balance został zachowany. Otrzymaliśmy w tym roku certyfikat Great Place to Work (aż 80% odpowiedzi w ankiecie dotyczącej różnych obszarów wybierało najwyższe noty, jesteśmy w pierwszej 10 firm z najlepszym wynikiem)",https://justjoin.it/job-offer/j-labs-software-engineer-krakow-net
